trade_date,gross_return,rebalance_turnover,roll_turnover,active_products,transaction_cost,net_return,nav,drawdown
2020-12-10,0.0008180454584910792,0.1,0.0,30,5e-05,0.0007680454584910792,1.0704708904734825,-0.014788943412529787
2020-12-11,-0.006338058427813509,0.13333333333333333,0.1,30,9.666666666666667e-05,-0.006434725094480176,1.0635827045716424,-0.02112850572171243
2020-12-14,-0.0028070802676387506,0.13333333333333333,0.0,30,6.666666666666667e-05,-0.0028737469343054173,1.0605262370349993,-0.02394153467747373
2020-12-15,0.0004972807819503711,0.13333333333333333,0.1,30,9.666666666666667e-05,0.00040061411528370444,1.0609510988151842,-0.02355051187892332
2020-12-16,-0.0018118783313681441,0.06666666666666667,0.06666666666666667,30,5.333333333333333e-05,-0.0018652116647014775,1.0589722004499964,-0.025371796854158468
2020-12-17,0.00248767834159976,0.06666666666666667,0.03333333333333333,30,4.3333333333333334e-05,0.0024443450082664267,1.0615606938620594,-0.02298946927088308
2020-12-18,0.0029665392298780253,0.16666666666666666,0.03333333333333333,30,9.333333333333333e-05,0.002873205896544692,1.064610776307204,-0.020182316853005977
2020-12-21,-0.0023761097338533647,0.125,0.0,32,6.25e-05,-0.002438609733853365,1.062014606105336,-0.02257170979252998
2020-12-22,-0.009733680636939562,0.125,0.0,32,6.25e-05,-0.009796180636939562,1.05161091918486,-0.0321467738830572
2020-12-23,-0.0002115284636668678,0.125,0.125,32,9.999999999999999e-05,-0.0003115284636668678,1.051283312450831,-0.03244828771164454
2020-12-24,-0.00245906723027136,0.1875,0.0,32,9.375e-05,-0.00255281723027136,1.0485995782969098,-0.03491827039395268
2020-12-25,0.0045646861067924795,0.125,0.0,32,6.25e-05,0.004502186106792479,1.0533205687499065,-0.03057329283900112
2020-12-28,-0.002630475818630809,0.09375,0.0,32,4.6875e-05,-0.002677350818630809,1.0505004600628833,-0.033168788227021184
2020-12-29,-0.0014749990530585344,0.125,0.03125,32,7.1875e-05,-0.0015468740530585343,1.048875468158486,-0.03466435434219994
2020-12-30,0.0011871963544971796,0.0625,0.0,32,3.125e-05,0.0011559463544971796,1.0500879119322253,-0.03354847812173567
2020-12-31,0.001993631626128499,0.15625,0.0,32,7.8125e-05,0.0019155066261284989,1.0520993622855488,-0.03169723382774603
2021-01-04,0.002506009138833868,0.125,0.03125,32,7.1875e-05,0.002434134138833868,1.0546603132607333,-0.029340255007878957
2021-01-05,0.00031829469113574607,0.15625,0.0,32,7.8125e-05,0.00024016969113574606,1.0549136107024224,-0.029107131956726096
2021-01-06,-0.00044470063383144146,0.09375,0.0,32,4.6875e-05,-0.0004915756338314415,1.054395040875604,-0.029584399233716918
2021-01-07,0.0025475491127646965,0.125,0.0,32,6.25e-05,0.0024850491127646965,1.0570152643364352,-0.027172868806019768
2021-01-08,0.00380834983881001,0.125,0.0,32,6.25e-05,0.00374584983881001,1.0609746847939696,-0.02352880445344674
2021-01-11,-0.0008286711033349686,0.09375,0.03125,32,5.625e-05,-0.0008849211033349686,1.0600358059052912,-0.02439290442118469
2021-01-12,0.0013531346631963856,0.21875,0.0,32,0.000109375,0.0012437596631963855,1.06135423568222,-0.023179483668575585
2021-01-13,-0.0037650431506130767,0.09375,0.03125,32,5.625e-05,-0.0038212931506130766,1.0572984900110334,-0.02691220121701121
2021-01-14,-0.0018062062705980451,0.125,0.03125,32,7.1875e-05,-0.001878081270598045,1.055312797519512,-0.028739739186553148
2021-01-15,-0.00586235689708671,0.15625,0.0,32,7.8125e-05,-0.00594048189708671,1.0490437309500833,-0.03450949318327523
2021-01-18,-0.006407148485215185,0.09375,0.0,32,4.6875e-05,-0.0064540234852151854,1.0422731780735137,-0.04074079158902266
2021-01-19,-0.004717987924836884,0.15625,0.0,32,7.8125e-05,-0.004796112924836884,1.0372743182129445,-0.04534150707675133
2021-01-20,-0.0029071274922443865,0.1875,0.03125,32,0.000103125,-0.0030102524922443865,1.0341518606114029,-0.04821527018431582
2021-01-21,-0.004888962033663687,0.15625,0.0,32,7.8125e-05,-0.004967087033663687,1.0290151383137207,-0.05294286777462254
2021-01-22,-0.0017283869174903425,0.1875,0.0,32,9.375e-05,-0.0018221369174903426,1.027140131841543,-0.05466853553822282
2021-01-25,0.0010665277063148827,0.0625,0.0,32,3.125e-05,0.0010352777063148827,1.0282035071212998,-0.0536898549479875
2021-01-26,0.0037902538308812496,0.125,0.0625,32,8.125e-05,0.0037090038308812494,1.0320171178681383,-0.05017998699478776
2021-01-27,-0.0011037153324342658,0.0625,0.0,32,3.125e-05,-0.0011349653324342658,1.0308458142168793,-0.05125799978160095
2021-01-28,0.0010567136905139905,0.125,0.0,32,6.25e-05,0.0009942136905139905,1.0318706952381826,-0.050314747496218226
2021-01-29,-0.002349427783681666,0.125,0.03125,32,7.1875e-05,-0.0024213027836816657,1.029372223851403,-0.052614223041727026
2021-02-01,0.004491139046631298,0.21875,0.0625,32,0.000128125,0.004363014046631298,1.0338633893232787,-0.048480765589279384
2021-02-02,0.005616845658459501,0.09375,0.0,32,4.6875e-05,0.005569970658459501,1.039621978066665,-0.04318083137265183
2021-02-03,-0.0025292667106539164,0.125,0.0,32,6.25e-05,-0.0025917667106539165,1.0369275204322477,-0.04566068344201557
2021-02-04,-0.002585678792329675,0.15625,0.0625,32,9.6875e-05,-0.0026825537923296752,1.0341459065799412,-0.04822074999481751
2021-02-05,-0.00014326585449261908,0.09375,0.0,32,4.6875e-05,-0.00019014085449261907,1.033949273193594,-0.04840172211470184
2021-02-08,-0.00504499377666353,0.0625,0.0,32,3.125e-05,-0.00507624377666353,1.0287006946301593,-0.05323226695070071
2021-02-09,-0.0033447618466599313,0.25,0.0,32,0.000125,-0.0034697618466599314,1.025131348208299,-0.05651732550848387
2021-02-10,0.014899468958037964,0.09375,0.0,32,4.6875e-05,0.014852593958037964,1.040357207876893,-0.042504160437817684
2021-02-18,0.002294418783380249,0.125,0.03125,32,7.1875e-05,0.002222543783380249,1.0426694473217546,-0.040376084011986335
2021-02-19,0.010380515222769192,0.1875,0.0,32,9.375e-05,0.010286765222769192,1.053395143131308,-0.030504658086063174
2021-02-22,0.009285864258111703,0.0625,0.03125,32,4.0625e-05,0.009245239258111703,1.0631340332628898,-0.02154144169044403
2021-02-23,-0.004459361817179527,0.03125,0.03125,32,2.4999999999999998e-05,-0.004484361817179527,1.0583665555975816,-0.02592920388901987
2021-02-24,0.00732256906780486,0.0625,0.0,32,3.125e-05,0.00729131906780486,1.0660834438451372,-0.018826942919944134
2021-02-25,0.009007449210416782,0.09375,0.0625,32,6.5625e-05,0.008941824210416782,1.0756161745936363,-0.010053465923536842
2021-02-26,0.00035234333893599534,0.09375,0.0,32,4.6875e-05,0.00030546833893599536,1.0759447412798222,-0.00975106860013697
2021-03-01,-0.009992390682538134,0.09375,0.0,32,4.6875e-05,-0.010039265682538134,1.0651430461623843,-0.019692440714309756
